Year,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
2018,954855481,253,3774132.3359683794,26,140332740,279501306257686.9,16718292.564065473,No Mode,40.154964225046236,375503727,253,1484204.4545454546,0,57792804,39998288300110.68,6324419.997131016,77,41.55093227770455
2019,943927010,253,3730936.798418972,25,138596800,272910276951854.88,16519996.275782112,212,40.184831626007075,379366088,253,1499470.7035573123,0,58354932,40885074111062.91,6394143.735564826,204,41.516451180098876
2020,919887747,253,3635919.9486166006,25,134719620,258916182178481.9,16090872.63570506,559,40.256599387546906,413579954,253,1634703.375494071,1,63546316,48254408121755.05,6946539.291025068,79,41.49759607974222
2021,912362337,253,3606175.2450592886,25,133448840,254364585080625.34,15948811.400246268,No Mode,40.30602114108992,456051996,253,1802577.0592885376,2,69728104,59747367280826.46,7729642.118547693,No Mode,40.82859184975538
2022,907243772,253,3585943.7628458496,25,132475390,251925352144835.66,15872156.505807132,197,40.29970518480862,404206755,253,1597655.1581027668,2,62278628,46036628621173.914,6785029.743573267,221,41.76378900236636
2023,905689613,253,3579800.8418972334,25,132110264,251518496647426.84,15859334.684892265,39,40.30000677590042,400372579,253,1582500.3122529644,2,61651610,45936185149726.74,6777623.857202961,249,41.436428444225044
2024,907914807,253,3588596.0750988144,25,132405920,252748827456824.38,15898076.21873868,38,40.31224909491172,405213417,253,1601634.0592885376,3,62389496,46960952172553.8,6852806.153142944,86,41.46775717146844
2025,908029778,253,3589050.5059288535,26,132399170,252803988121097.22,15899810.946080372,37,40.321242485440635,410339006,253,1621893.3043478262,3,63135984,48164096593549.1,6940035.777540999,1077,41.44767369864575
2026,908907599,253,3592520.1541501977,27,132503470,253305675518818.94,15915579.64759119,682,40.32707587945576,414010105,253,1636403.5770750989,3,63637310,48960818723889.38,6997200.777731719,269,41.43885172941498
2027,909656395,253,3595479.822134387,28,132590970,253712943879391.62,15928369.15316165,36,40.33706067918509,420645679,253,1662631.1422924902,3,64625684,50611612338784.766,7114183.884240326,No Mode,41.40840052992384
2028,910928077,253,3600506.233201581,29,132761180,254390563444700.44,15949625.808924185,675,40.34784347235105,427703112,253,1690526.1343873518,3,65677930,52403055760726.93,7238995.493901549,No Mode,41.373932776219284
2029,912590502,253,3607077.0830039526,30,132988660,255310961929121.84,15978453.051817058,30,40.35561990670034,434817596,253,1718646.624505929,3,66739330,54239261028585.98,7364730.886365501,98,41.343222522183616
2030,914457446,253,3614456.308300395,29,133256390,256327952908738.6,16010245.248238347,34,40.36325495815873,442113754,253,1747485.1936758894,4,67826880,56156583142372.51,7493769.621650542,No Mode,41.31195895832779
2031,916225939,253,3621446.3992094863,28,133513410,257259983698999.78,16039326.161001895,35,40.37440910854855,449662326,253,1777321.4466403162,4,68954184,58171349072135.78,7627014.427161901,85,41.28193484725989
2032,917884989,253,3628003.909090909,28,133764800,258091567447868.7,16065228.521495381,479,40.3875510457931,457350577,253,1807709.790513834,6,70103040,60262157417750.65,7762870.436748938,No Mode,41.25329729507956
