Entity,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Azerbaijan,20833599,151,137970.85430463575,91257,213566,1299717155.6986277,36051.590196531244,No Mode,-0.9199064594429527,13921907,151,92198.05960264901,55352,139075,959937779.0164245,30982.862666584322,No Mode,-1.6724292788014665
Bahamas,669188,151,4431.7086092715235,3068,6845,934448.7411920524,966.6688891197712,3386,-1.0000111521099204,516452,151,3420.2119205298013,939,5464,2962098.6481236164,1721.07485256267,No Mode,-1.6318585608228746
Bahrain,3006153,151,19908.298013245032,5766,34614,68676219.37059602,8287.111642218659,No Mode,-1.1756255779031566,865313,151,5730.549668874172,1388,15792,19440725.262516554,4409.163782682217,1392,-0.6838365841580125
Bangladesh,442013570,151,2927242.1854304634,1798648,4082289,474402696359.05865,688768.9716872114,No Mode,-1.2509260580794814,221050235,151,1463908.8410596026,853187,2802344,287662323319.32153,536341.6106543678,No Mode,-0.2931791610469099
Barbados,536054,151,3550.026490066225,1585,8078,3144831.6259602667,1773.3673127584896,3950,0.3965425109454399,416427,151,2757.794701986755,1557,3630,384138.8175717444,619.7893332187514,3144,-1.0330619414346578
Belarus,13610414,151,90135.19205298013,28960,207507,2689862324.4228687,51863.88265857917,No Mode,-0.9303509191768566,16036104,151,106199.36423841059,63004,147593,478153338.9531129,21866.717608116516,No Mode,-0.8340172800246903
Belgium,17084844,151,113144.66225165562,90756,159381,348339265.1584993,18663.849151729108,No Mode,-0.1450731026925256,18363399,151,121611.91390728476,101605,143883,182599855.65253872,13512.951404209914,No Mode,-1.435331966249041
Belize,850116,151,5629.907284768212,3435,8039,1784253.351346576,1335.7594661265089,6235,-1.3728690585884404,471395,151,3121.82119205298,1056,6777,4482530.934481236,2117.1988415076266,1079,-1.2207345479904985
Benin,64245366,151,425466.0,92031,634962,38517268211.84002,196258.1672487543,No Mode,-1.4289827561320254,25821372,151,171002.46357615895,70365,424302,11586256752.223658,107639.47580801227,No Mode,-0.4581683735776343
Bermuda,89078,151,589.9205298013245,242,1145,73088.7803090509,270.34936713269906,537,-0.9970881068056223,87945,151,582.4172185430464,344,897,30135.111434878552,173.59467571005325,373,-1.2183672011505569
Bhutan,1652671,151,10944.84105960265,5456,22547,22621829.321236186,4756.241091580218,No Mode,-0.14487984714390034,1110626,151,7355.139072847682,4644,11894,6036602.147196468,2456.9497648907004,6820,-0.9985265396569494
Bolivia,34447685,151,228130.3642384106,133003,261796,1146281792.793112,33856.78355652102,No Mode,0.38415745666896495,18636175,151,123418.3774834437,79840,212393,2220058000.903224,47117.491453845716,No Mode,-1.0380610629919835
Bonaire Sint Eustatius and Saba,37694,151,249.6291390728477,173,307,1147.4348785871978,33.87380815006187,245,-0.7823011267664457,39108,151,258.9933774834437,72,458,23302.766622516563,152.65243732910577,77,-1.8026913608252595
Bosnia and Herzegovina,6243796,151,41349.64238410596,9875,114833,1118033573.5512578,33437.00904015276,No Mode,-0.48339033788831376,5518900,151,36549.00662251656,22894,82851,74835207.52662246,8650.734507926045,42674,7.401021315856557
Botswana,6978610,151,46215.96026490066,18806,61615,130565222.54507709,11426.514015441328,No Mode,-0.15441709585476282,3388675,151,22441.556291390727,7339,46033,168459272.47514343,12979.186125298591,No Mode,-1.037387439723096
Brazil,384376511,151,2545539.80794702,1268230,3997588,697425802747.4628,835120.2325099439,No Mode,-1.3151477644961354,265627450,151,1759122.1854304636,910275,2801366,528597206240.76544,727046.9078682375,No Mode,-1.7031089522621168
British Virgin Islands,40168,151,266.0132450331126,202,357,1391.6131567328925,37.30433160817779,255,-0.8821225268535171,43114,151,285.52317880794703,54,596,40945.397792494485,202.34969185174086,81,-1.6128558570312146
Brunei,794641,151,5262.523178807947,2348,7276,1091611.6777924942,1044.8022194618914,4631,-0.24650530483707866,491634,151,3255.8543046357618,842,6544,5071476.031964678,2251.9937903921223,857,-1.6498068152631957
Bulgaria,11156654,151,73885.12582781457,28933,155976,1612416383.590728,40154.90485097341,No Mode,-0.894068665087477,13209783,151,87482.00662251655,51168,148512,410909934.88662314,20270.91351879888,No Mode,-0.719823715017581
Burkina Faso,90891300,151,601929.1390728477,182668,813710,45772361003.14717,213944.76156977337,810740,-0.991436357711891,40354814,151,267250.4238410596,119023,607075,21841978129.725822,147790.31811903586,No Mode,-0.2949049497346543
Burundi,62799891,151,415893.3178807947,117211,599143,30462447187.431606,174534.94546202375,No Mode,-1.4038926097343465,23037094,151,152563.53642384105,52656,382729,8382380160.730335,91555.339334909,No Mode,0.050297448270802736
Cambodia,45494182,151,301285.9735099338,110966,391232,3172851418.7859583,56328.069546061655,No Mode,0.1544980613666871,25600039,151,169536.6821192053,86266,569757,7606215991.858281,87213.62274242644,No Mode,6.333967950486626
