Entity,Data_Type,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Andorra,Estimate,39099,74,528.3648648648649,89,873,58506.94724176228,241.88209367739952,89,-0.8973890335465908,18539,74,250.52702702702703,58,639,29645.649944465014,172.1791216857172,60,-1.458169640358092
Andorra,Projection,32143,77,417.4415584415584,279,589,10773.591934381388,103.7959148251095,394,-1.1900841991830327,73870,77,959.3506493506494,495,1222,46110.46753246754,214.7334802318156,1222,-0.6523168031699136
Angola,Estimate,45773057,74,618554.8243243244,201604,1381370,130924553005.16048,361834.9803503808,No Mode,-0.8642153900856955,15452081,74,208811.9054054054,121741,295803,3398058991.8950396,58292.87256513475,No Mode,-1.6803439270586245
Angola,Projection,159610813,77,2072867.7012987013,1407760,2353811,82072717345.68584,286483.36312198977,No Mode,-0.5414852303380653,48141594,77,625215.5064935065,259145,1227272,82403418255.14795,287059.95585443114,No Mode,-0.9057962492924538
Anguilla,Estimate,13872,74,187.45945945945945,126,282,1796.4161421695683,42.38414965726655,160,-0.4057182576281,4720,74,63.78378378378378,51,96,90.25398000740466,9.500209471764538,55,1.1689523915302318
Anguilla,Projection,7452,77,96.77922077922078,62,141,691.1216678058794,26.28919298506288,94,-1.176271902812861,12412,77,161.19480519480518,97,192,771.343130553657,27.77306483904247,169,-0.09598375479948906
Antigua and Barbuda,Estimate,107651,74,1454.7432432432433,984,2032,81431.3441318029,285.3617776293856,No Mode,-0.7878939983849191,35833,74,484.22972972972974,394,641,3421.8232136245856,58.49635213946751,400,0.18365255868745622
Antigua and Barbuda,Projection,58651,77,761.7012987012987,521,1102,28484.501708817523,168.77352194232816,No Mode,-0.9376400081900895,81289,77,1055.7012987012988,659,1194,26509.34381408061,162.81690272843483,1179,0.018972533812603665
Argentina,Estimate,46845069,74,633041.472972973,443092,775263,11454372725.677359,107025.10325001962,No Mode,-1.441643366130323,18951304,74,256098.7027027027,159931,440648,3810806801.335064,61731.73253145471,No Mode,0.07367992710556193
Argentina,Projection,31620243,77,410652.5064935065,291062,525160,6450042963.042721,80312.15949682042,No Mode,-1.3948862127854829,39183594,77,508877.8441558442,353298,603537,7161742261.528023,84627.0775906153,No Mode,-1.355367254366423
Armenia,Estimate,4302474,74,58141.54054054054,34510,87990,297160903.6216221,17238.355595056684,No Mode,-1.2521916177396124,1939900,74,26214.864864864863,21652,51072,18482945.59792671,4299.179642434904,22046,16.670786145806794
Armenia,Projection,1642854,77,21335.766233766233,13713,36278,32588873.91831852,5708.666562194583,No Mode,-0.4168296980022981,2376761,77,30867.025974025975,24525,34048,9265225.05194806,3043.8832191705483,No Mode,-0.7464363805071503
Aruba,Estimate,100626,74,1359.8108108108108,1020,1809,53035.963717141836,230.29538362099626,1201,-0.5680978967080352,41079,74,555.1216216216217,346,1265,39788.73843021104,199.47114686142214,346,1.5002340611091403
Aruba,Projection,64719,77,840.5064935064935,624,1054,22477.542720437425,149.9251237132637,807,-1.3693657106433172,97804,77,1270.1818181818182,1048,1505,19024.22966507188,137.92834975113666,1138,-1.271311886214481
Asia (UN),Estimate,5640156052,74,76218325.02702703,57064428,90014730,59914589164670.92,7740451.483257997,No Mode,0.08871131536496435,2140147340,74,28920910.0,26501850,38304910,5895133421373.156,2427989.5842802036,No Mode,3.6917796025657563
Asia (UN),Projection,4169421960,77,54148337.14285714,42000740,65492050,55995516347087.29,7483015.190889785,No Mode,-1.348492743113131,4235609714,77,55007918.36363637,34346108,64688990,98527825587497.11,9926118.35449775,No Mode,-0.8136517664339058
Australia,Estimate,18763478,74,253560.51351351352,188769,313988,1085857894.9381735,32952.35795718075,No Mode,-0.7641245501612528,8923222,74,120584.08108108108,77952,204741,730268697.8015544,27023.484190636012,No Mode,0.2954881162365144
Australia,Projection,26841096,77,348585.66233766236,297674,408076,1196874540.437113,34595.87461587166,No Mode,-1.2132593327281507,23695127,77,307728.9220779221,179984,380412,3623772674.572796,60197.779648196294,No Mode,-0.7733525328855229
Austria,Estimate,7060675,74,95414.52702702703,75153,134825,309372627.43076646,17588.991654747195,No Mode,-0.34484625506590616,6362938,74,85985.64864864865,74605,98939,47355912.06664193,6881.5631993495435,No Mode,-1.072713147084626
Austria,Projection,5037476,77,65421.76623376623,58175,76247,19083772.813055426,4368.497775329115,No Mode,-0.648419494802098,8027233,77,104249.77922077922,87570,119622,84957786.41114135,9217.254819692324,No Mode,-0.944481815056395
Azerbaijan,Estimate,12414721,74,167766.5,117561,213566,755893628.4178075,27493.519753167428,No Mode,-0.9282855476911616,4784502,74,64655.43243243243,55352,87997,38702494.63235834,6221.132905858734,No Mode,3.4505999018732987
Azerbaijan,Projection,8418878,77,109336.07792207792,91257,128652,144018408.94121614,12000.767014704357,No Mode,-1.2339270867012937,9137405,77,118667.5974025974,68615,139075,408950690.5857828,20222.529282604162,No Mode,0.2008871572500306
Bahamas,Estimate,382446,74,5168.189189189189,3068,6845,758161.6623472779,870.7247913935137,5401,0.1711833324411023,135416,74,1829.945945945946,939,4467,702356.1340244351,838.0669030718461,No Mode,0.3453727562976221
Bahamas,Projection,286742,77,3723.9220779220777,3363,4341,80389.25700615229,283.5299931332703,3386,-0.8377650382984916,381036,77,4948.519480519481,3521,5464,342763.91079972644,585.4604263310429,No Mode,-0.17557139905917518
Bahrain,Estimate,946579,74,12791.608108108108,5766,21038,21520083.1456868,4638.974363551366,No Mode,-1.1728098173347268,161339,74,2180.2567567567567,1388,4212,457245.45372084377,676.1992707189529,1392,-0.2998171029962382
Bahrain,Projection,2059574,77,26747.714285714286,19338,34614,18167001.575187963,4262.276571878925,No Mode,-1.098350138226564,703974,77,9142.51948051948,3555,15792,13863059.77922078,3723.3130111797987,No Mode,-1.267139461856142
Bangladesh,Estimate,248952535,74,3364223.445945946,1910563,4082289,376369614452.3059,613489.7019936895,No Mode,-0.2168573608538673,86451616,74,1168265.0810810812,853187,2802344,65454462756.952255,255840.69800747547,No Mode,22.06626481188591
Bangladesh,Projection,193061035,77,2507286.1688311687,1798648,3469124,210197016646.74747,458472.4818860424,No Mode,-0.8382433296481198,134598619,77,1748034.012987013,885976,2609198,337989444243.85583,581368.5958527996,No Mode,-1.4580826376763425
Barbados,Estimate,360397,74,4870.22972972973,3155,8078,2771994.6177341724,1664.930814698969,3950,-1.1992607458000515,165473,74,2236.1216216216217,1557,3261,190280.35486856717,436.2113649007407,No Mode,-0.749394501436432
Barbados,Projection,175657,77,2281.2597402597403,1585,3140,216310.66848940484,465.092107532911,No Mode,-1.1248778047028363,250954,77,3259.1428571428573,2836,3630,55761.07142857131,236.13782295212962,3582,-1.183612000422424
Belarus,Estimate,9981999,74,134891.87837837837,65050,207507,1383295693.341171,37192.683330746266,No Mode,-1.034954493200079,7790582,74,105278.13513513513,63004,147593,728891377.6527214,26997.98840011458,No Mode,-1.3353788141800456
